price:68.0|title:托德尔莫慕斯卡甜高泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒
sezhe:|crumb:选酒中心＞其他＞豪酒汇圣比利庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:11976.0HK$14970.0|title:豪酒汇圣比利庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇靓次伯副牌干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:688.0HK$860.0|title:豪酒汇靓次伯副牌干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞（国内送货）贝卡塔纳城堡干红葡萄酒整箱（12瓶）|price:也买价:14256.0|title:（国内送货）贝卡塔纳城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）杜卡斯庄园干红葡萄酒整箱（12瓶）|price:也买价:11976.0|title:豪酒汇（国内送货）杜卡斯庄园干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）费里埃庄园干红葡萄酒整箱（12瓶）|price:也买价:11976.0|title:豪酒汇（国内送货）费里埃庄园干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞（国内送货）杜卡斯庄园干红葡萄酒整箱（12瓶）|price:也买价:11976.0|title:（国内送货）杜卡斯庄园干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞豪酒汇费里埃庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8016.0HK$10020.0|title:豪酒汇费里埃庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）贝卡塔纳城堡干红葡萄酒整箱（12瓶）|price:也买价:14256.0|title:豪酒汇（国内送货）贝卡塔纳城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞麒麟酒庄干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8856.0HK$11070.0|title:麒麟酒庄干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇麒麟酒庄干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8856.0HK$11070.0|title:豪酒汇麒麟酒庄干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞马利庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:7176.0HK$8970.0|title:马利庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）贝卡塔纳城堡干红葡萄酒2015期酒|price:也买价:1188.0|title:豪酒汇（国内送货）贝卡塔纳城堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）麒麟酒庄干红葡萄酒整箱（12瓶）|price:也买价:13176.0|title:豪酒汇（国内送货）麒麟酒庄干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇贝卡塔纳城堡干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:788.0HK$985.0|title:豪酒汇贝卡塔纳城堡干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞嘉芙丽城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:12816.0HK$16020.0|title:嘉芙丽城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞贝卡塔纳城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:9456.0HK$11820.0|title:贝卡塔纳城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）歌碧堡干红葡萄酒2015期酒|price:也买价:938.0|title:豪酒汇（国内送货）歌碧堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）费里埃庄园干红葡萄酒2015期酒|price:也买价:998.0|title:豪酒汇（国内送货）费里埃庄园干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）麒麟酒庄干红葡萄酒整箱（12瓶）|price:也买价:13176.0|title:（国内送货）麒麟酒庄干红葡萄酒整箱（12瓶）
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞戛纳电影节木桐嘉棣红葡萄酒2015|price:也买价:598.0|title:戛纳电影节木桐嘉棣红葡萄酒2015
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇麒麟酒庄干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:738.0HK$922.5|title:豪酒汇麒麟酒庄干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）麒麟酒庄干红葡萄酒2015期酒|price:也买价:1098.0|title:豪酒汇（国内送货）麒麟酒庄干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）嘉芙丽城堡干红葡萄酒整箱（12瓶）|price:也买价:19056.0|title:（国内送货）嘉芙丽城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇杜卡斯庄园干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:668.0HK$835.0|title:豪酒汇杜卡斯庄园干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）歌碧堡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:11256.0|title:豪酒汇（国内送货）歌碧堡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇歌碧堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:7656.0HK$9570.0|title:豪酒汇歌碧堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞杜卡斯庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8016.0HK$10020.0|title:杜卡斯庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇杜卡斯庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8016.0HK$10020.0|title:豪酒汇杜卡斯庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇贝卡塔纳城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:9456.0HK$11820.0|title:豪酒汇贝卡塔纳城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）杜卡斯庄园干红葡萄酒2015期酒|price:也买价:998.0|title:豪酒汇（国内送货）杜卡斯庄园干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇费里埃庄园干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:668.0HK$835.0|title:豪酒汇费里埃庄园干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）奥巴里奇庄园干红葡萄酒整箱（12瓶）|price:也买价:12816.0|title:豪酒汇（国内送货）奥巴里奇庄园干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）奥巴里奇庄园干红葡萄酒2015期酒|price:也买价:1068.0|title:（国内送货）奥巴里奇庄园干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞白葡萄酒＞甜白＞莱斯古堡甜白葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:12708.0HK$15885.0|title:莱斯古堡甜白葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇拉拉贡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:11496.0HK$14370.0|title:豪酒汇拉拉贡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇宝马副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:13056.0HK$16320.0|title:豪酒汇宝马副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞（国内送货）宝马副牌干红葡萄酒整箱（12瓶）|price:也买价:20256.0|title:（国内送货）宝马副牌干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞雄狮侯爵干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:11016.0HK$13770.0|title:雄狮侯爵干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞拉拉贡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:11496.0HK$14370.0|title:拉拉贡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞宝马副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:13056.0HK$16320.0|title:宝马副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）雄狮侯爵干红葡萄酒2015期酒整箱（12瓶）|price:也买价:16056.0|title:（国内送货）雄狮侯爵干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇奥巴里奇庄园干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:688.0HK$860.0|title:豪酒汇奥巴里奇庄园干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）奥巴里奇庄园干红葡萄酒2015期酒|price:也买价:1068.0|title:豪酒汇（国内送货）奥巴里奇庄园干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞其他＞费里埃庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8016.0HK$10020.0|title:费里埃庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞拉图庄园红葡萄酒2005（名庄预售）|price:13440.0|title:拉图庄园红葡萄酒2005（名庄预售）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇雄狮侯爵干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:918.0HK$1147.5|title:豪酒汇雄狮侯爵干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞白葡萄酒＞甜白＞豪酒汇（国内送货）莱斯古堡甜白葡萄酒2015期酒整箱（12瓶）|price:也买价:18708.0|title:豪酒汇（国内送货）莱斯古堡甜白葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇拉拉贡干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:958.0HK$1197.5|title:豪酒汇拉拉贡干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞奥巴里奇庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8256.0HK$10320.0|title:奥巴里奇庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）宝马副牌干红葡萄酒整箱（12瓶）|price:也买价:20256.0|title:豪酒汇（国内送货）宝马副牌干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇歌碧堡干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:638.0HK$797.5|title:豪酒汇歌碧堡干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）雄狮侯爵干红葡萄酒2015期酒|price:也买价:1338.0|title:豪酒汇（国内送货）雄狮侯爵干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇奥巴里奇庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8256.0HK$10320.0|title:豪酒汇奥巴里奇庄园干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）歌碧堡干红葡萄酒2015期酒|price:也买价:938.0|title:（国内送货）歌碧堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）歌碧堡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:11256.0|title:（国内送货）歌碧堡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）奥巴里奇庄园干红葡萄酒整箱（12瓶）|price:也买价:12816.0|title:（国内送货）奥巴里奇庄园干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）拉拉贡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:14616.0|title:豪酒汇（国内送货）拉拉贡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞（国内送货）费里埃庄园干红葡萄酒整箱（12瓶）|price:也买价:11976.0|title:（国内送货）费里埃庄园干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）拉拉贡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:14616.0|title:（国内送货）拉拉贡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）雄狮侯爵干红葡萄酒2015期酒整箱（12瓶）|price:也买价:16056.0|title:豪酒汇（国内送货）雄狮侯爵干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）周伯通城堡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:16536.0|title:豪酒汇（国内送货）周伯通城堡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）|price:也买价:13656.0|title:豪酒汇（国内送货）宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇拉朗宝怡城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:5616.0HK$7020.0|title:豪酒汇拉朗宝怡城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）杜扎克城堡干红葡萄酒整箱（12瓶）|price:也买价:13188.0|title:豪酒汇（国内送货）杜扎克城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞（国内送货）杜扎克城堡干红葡萄酒整箱（12瓶）|price:也买价:13188.0|title:（国内送货）杜扎克城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞柯斯拉柏丽城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:7188.0HK$8985.0|title:柯斯拉柏丽城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）拉科鲁锡城堡干红葡萄酒2015期酒|price:也买价:1078.0|title:豪酒汇（国内送货）拉科鲁锡城堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）杜扎克城堡干红葡萄酒2015期酒|price:也买价:1099.0|title:豪酒汇（国内送货）杜扎克城堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞拉朗宝怡城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:5616.0HK$7020.0|title:拉朗宝怡城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇杜扎克城堡干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:788.0HK$985.0|title:豪酒汇杜扎克城堡干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇宝嘉龙副牌干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:768.0HK$960.0|title:豪酒汇宝嘉龙副牌干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）柯斯拉柏丽城堡干红葡萄酒2015期酒|price:也买价:899.0|title:豪酒汇（国内送货）柯斯拉柏丽城堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞其他＞杜扎克城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:9456.0HK$11820.0|title:杜扎克城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）拉朗宝怡城堡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:8376.0|title:（国内送货）拉朗宝怡城堡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞豪酒汇柯斯拉柏丽城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:7188.0HK$8985.0|title:豪酒汇柯斯拉柏丽城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）|price:也买价:13656.0|title:（国内送货）宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）宝嘉龙副牌干红葡萄酒2015期酒|price:也买价:1138.0|title:豪酒汇（国内送货）宝嘉龙副牌干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:9216.0HK$11520.0|title:宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇（国内送货）柯斯拉柏丽城堡干红葡萄酒整箱（12瓶）|price:也买价:10788.0|title:豪酒汇（国内送货）柯斯拉柏丽城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:9216.0HK$11520.0|title:豪酒汇宝嘉龙副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）柯斯拉柏丽城堡干红葡萄酒2015期酒|price:也买价:899.0|title:（国内送货）柯斯拉柏丽城堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞周伯通城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:11016.0HK$13770.0|title:周伯通城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞豪酒汇杜扎克城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:9456.0HK$11820.0|title:豪酒汇杜扎克城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇柯斯拉柏丽城堡干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:599.0HK$748.8|title:豪酒汇柯斯拉柏丽城堡干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）拉科鲁锡城堡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:12936.0|title:豪酒汇（国内送货）拉科鲁锡城堡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）周伯通城堡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:16536.0|title:（国内送货）周伯通城堡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞（国内送货）柯斯拉柏丽城堡干红葡萄酒整箱（12瓶）|price:也买价:10788.0|title:（国内送货）柯斯拉柏丽城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇拉朗宝怡城堡干红葡萄酒2015期酒（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:468.0HK$585.0|title:豪酒汇拉朗宝怡城堡干红葡萄酒2015期酒（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）拉朗宝怡城堡干红葡萄酒2015期酒|price:也买价:698.0|title:（国内送货）拉朗宝怡城堡干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇拉科鲁锡城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8736.0HK$10920.0|title:豪酒汇拉科鲁锡城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞班卡塔纳城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:13176.0HK$16470.0|title:班卡塔纳城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞（国内送货）骑士城堡干红葡萄酒整箱（12瓶）|price:也买价:20256.0|title:（国内送货）骑士城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞巴顿城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:15696.0HK$19620.0|title:巴顿城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇碧尚男爵堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:27096.0HK$33870.0|title:豪酒汇碧尚男爵堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇艾格利斯酒庄干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:16416.0HK$20520.0|title:豪酒汇艾格利斯酒庄干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）靓次伯城堡干红葡萄酒整箱（12瓶）|price:也买价:35856.0|title:豪酒汇（国内送货）靓次伯城堡干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞（国内送货）靓次伯副牌干红葡萄酒2015期酒|price:也买价:998.0|title:（国内送货）靓次伯副牌干红葡萄酒2015期酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞靓次伯城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:23856.0HK$29820.0|title:靓次伯城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞其他＞（国内送货）靓次伯副牌干红葡萄酒整箱（12瓶）|price:也买价:11976.0|title:（国内送货）靓次伯副牌干红葡萄酒整箱（12瓶）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇迪仙城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:11856.0HK$14820.0|title:豪酒汇迪仙城堡干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）碧尚男爵堡干红葡萄酒2015期酒整箱（12瓶）|price:也买价:40056.0|title:豪酒汇（国内送货）碧尚男爵堡干红葡萄酒2015期酒整箱（12瓶）
sezhe:|crumb:选酒中心＞其他＞靓次伯副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）|price:汇率HK$1:0.8[一键换算HK$]也买价:8256.0HK$10320.0|title:靓次伯副牌干红葡萄酒2015期酒整箱（12瓶）（香港提货价，含国际运费）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪酒汇（国内送货）班卡塔纳城堡干红葡萄酒2015期酒|price:也买价:1618.0|title:豪酒汇（国内送货）班卡塔纳城堡干红葡萄酒2015期酒
